ts,load1,cpu_pct,mem_used_mb,mem_total_mb,gpu0_pct,gpu0_mem_mb,gpu1_pct,gpu1_mem_mb,gpu_temp
1787361843,0.32,2.2,12205,28012,8,7401,0,0,63
1787361845,0.32,3.4,11974,28012,16,7401,0,0,63
1787361847,0.37,3.5,11947,28012,18,7401,0,0,63
1787361849,0.37,3.6,11959,28012,21,7401,0,0,63
1787361851,0.37,3.8,11956,28012,22,7401,0,0,64
1787361853,0.42,3.9,11941,28012,72,7401,0,0,66
1787361855,0.42,3.7,11991,28012,20,7401,0,0,65
1787361858,0.47,3.6,11980,28012,21,7401,0,0,64
1787361860,0.47,3.8,11970,28012,22,7401,0,0,64
1787361862,0.51,3.5,11964,28012,23,7401,0,0,64
1787361864,0.51,3.5,11955,28012,24,7401,0,0,64
1787361866,0.51,3.5,11960,28012,24,7401,0,0,64
1787361868,0.55,3.8,11964,28012,24,7401,0,0,64
1787361870,0.55,3.5,11951,28012,95,7401,0,0,68
1787361873,0.59,4.1,12003,28012,0,7401,0,0,66
1787361875,0.59,3.5,11993,28012,13,7401,0,0,67
1787361877,0.70,3.8,12046,28012,17,7401,0,0,66
1787361879,0.70,3.5,12030,28012,20,7401,0,0,66
1787361881,0.70,3.5,12020,28012,20,7401,0,0,66
1787361883,0.72,3.9,12000,28012,21,7401,0,0,66
1787361885,0.72,3.7,11983,28012,11,7401,0,0,66
1787361888,0.75,3.7,11983,28012,22,7401,0,0,66
1787361890,0.75,3.5,11974,28012,23,7401,0,0,66
1787361892,0.77,3.6,11970,28012,23,7401,0,0,66
1787361894,0.77,3.6,11951,28012,14,7401,0,0,66
1787361896,0.77,3.6,11958,28012,24,7401,0,0,67
1787361898,0.87,3.6,11961,28012,24,7401,0,0,67
1787361900,0.87,3.6,11946,28012,26,7401,0,0,67
1787361902,0.88,4.3,11948,28012,20,7401,0,0,69
1787361905,0.88,3.8,13173,28012,11,7401,0,0,67
1787361907,0.89,3.6,12010,28012,23,7401,0,0,67
1787361909,0.89,3.6,11995,28012,22,7401,0,0,67
1787361911,0.89,3.4,11985,28012,24,7401,0,0,67
1787361913,0.90,4.1,11994,28012,24,7401,0,0,67
1787361915,0.90,3.5,11958,28012,25,7401,0,0,67
1787361917,0.90,3.6,11949,28012,26,7401,0,0,67
1787361920,0.90,3.4,11955,28012,26,7401,0,0,67
1787361922,0.90,4.5,11960,28012,22,7401,0,0,67
1787361924,0.99,4.0,11955,28012,22,7401,0,0,67
1787361926,0.99,3.5,11949,28012,20,7401,0,0,67
1787361928,1.07,4.5,11944,28012,15,7403,0,0,70
1787361930,1.07,3.7,13038,28012,11,7403,0,0,68
1787361932,1.07,3.7,12066,28012,22,7403,0,0,68
1787361935,1.07,3.7,12041,28012,22,7403,0,0,68
1787361937,1.07,3.5,11996,28012,14,7403,0,0,68
1787361939,1.14,3.6,11994,28012,22,7403,0,0,68
1787361941,1.14,3.8,12000,28012,22,7403,0,0,68
1787361943,1.13,3.8,12001,28012,22,7403,0,0,68
1787361945,1.13,3.6,11991,28012,22,7403,0,0,68
1787361947,1.12,3.6,11992,28012,23,7403,0,0,68
1787361949,1.12,3.8,11989,28012,18,7403,0,0,68
1787361952,1.12,3.5,11971,28012,25,7403,0,0,68
1787361954,1.11,3.6,11967,28012,37,7403,0,0,68
1787361956,1.11,4.1,12108,28012,9,7403,0,0,70
1787361958,1.10,3.8,13337,28012,9,7403,0,0,69
1787361960,1.10,3.6,12031,28012,21,7403,0,0,69
1787361962,1.17,3.4,12008,28012,20,7403,0,0,69
1787361964,1.17,3.6,11993,28012,22,7403,0,0,69
1787361967,1.17,3.6,11968,28012,22,7403,0,0,69
1787361969,1.16,3.8,11963,28012,0,7403,0,0,69
1787361971,1.16,3.5,11962,28012,18,7403,0,0,69
1787361973,1.23,3.6,11957,28012,19,7403,0,0,69
1787361975,1.23,5.0,11968,28012,19,7403,0,0,69
1787361977,1.21,3.8,11956,28012,14,7403,0,0,69
1787361979,1.21,3.6,11944,28012,24,7403,0,0,69
1787361981,1.21,3.7,11939,28012,23,7403,0,0,69
1787361984,1.19,3.8,11932,28012,22,7403,0,0,69
1787361986,1.19,4.0,11924,28012,26,7403,0,0,69
1787361988,1.26,3.6,11920,28012,17,7403,0,0,69
1787361990,1.26,3.5,11925,28012,97,7403,0,0,73
1787361992,1.23,4.3,12678,28012,9,7403,0,0,70
1787361994,1.23,3.8,13980,28012,11,7403,0,0,70
1787361996,1.23,3.7,12017,28012,20,7403,0,0,70
1787361999,1.22,3.6,12018,28012,24,7403,0,0,69
1787362001,1.22,3.5,12012,28012,25,7403,0,0,69
1787362003,1.28,3.5,12006,28012,24,7403,0,0,69
1787362005,1.28,4.2,11997,28012,25,7403,0,0,69
1787362007,1.26,3.5,11998,28012,25,7403,0,0,69
1787362009,1.26,3.5,11978,28012,26,7403,0,0,69
1787362011,1.26,3.5,11972,28012,26,7403,0,0,69
1787362014,1.24,4.1,11959,28012,16,7403,0,0,69
1787362016,1.24,3.6,11954,28012,24,7403,0,0,69
1787362018,1.30,3.5,11934,28012,25,7403,0,0,69
1787362020,1.30,3.6,11937,28012,26,7403,0,0,69
1787362022,1.27,3.8,11938,28012,14,7403,0,0,69
1787362024,1.27,3.6,11935,28012,28,7403,0,0,69
1787362026,1.27,3.6,11930,28012,29,7403,0,0,68
1787362028,1.25,3.7,11938,28012,24,7403,0,0,69
1787362031,1.25,3.7,11938,28012,30,7403,0,0,69
1787362033,1.23,3.7,11941,28012,30,7403,0,0,68
1787362035,1.23,3.9,11941,28012,25,7403,0,0,68
1787362037,1.21,3.5,11938,28012,97,7403,0,0,74
1787362039,1.21,4.6,12843,28012,11,7403,0,0,70
1787362041,1.21,3.8,14320,28012,11,7403,0,0,70
1787362043,1.19,3.7,12011,28012,21,7403,0,0,70
1787362046,1.19,3.5,12002,28012,23,7403,0,0,70
1787362048,1.18,3.5,12002,28012,24,7403,0,0,69
1787362050,1.18,3.9,12005,28012,23,7403,0,0,69
1787362052,1.16,3.5,11989,28012,25,7403,0,0,69
1787362054,1.16,3.6,11975,28012,26,7403,0,0,69
1787362056,1.16,3.5,11967,28012,10,7403,0,0,69
1787362058,1.15,3.8,11947,28012,20,7403,0,0,69
1787362061,1.15,3.6,11943,28012,25,7403,0,0,69
1787362063,1.22,3.6,11933,28012,25,7403,0,0,69
1787362065,1.22,3.9,11926,28012,17,7403,0,0,69
1787362067,1.20,3.7,11926,28012,24,7403,0,0,69
1787362069,1.20,3.8,11923,28012,26,7403,0,0,69
1787362071,1.20,3.5,11924,28012,29,7403,0,0,69
1787362073,1.18,3.7,11921,28012,29,7403,0,0,69
1787362075,1.18,3.6,11925,28012,25,7403,0,0,69
1787362078,1.17,4.3,11925,28012,29,7403,0,0,69
1787362080,1.17,3.6,11932,28012,97,7403,0,0,74
1787362082,1.16,4.5,12901,28012,11,7403,0,0,71
1787362084,1.16,3.6,14313,28012,9,7403,0,0,70
1787362086,1.16,3.8,12030,28012,8,7403,0,0,70
1787362088,1.14,3.6,12022,28012,23,7403,0,0,70
1787362090,1.14,3.6,11999,28012,24,7403,0,0,70
1787362093,1.13,3.5,12004,28012,24,7403,0,0,70
1787362095,1.13,3.8,12000,28012,25,7403,0,0,70
1787362097,1.12,3.9,11983,28012,20,7403,0,0,70
1787362099,1.12,3.5,11973,28012,19,7403,0,0,69
1787362101,1.12,3.6,11959,28012,25,7403,0,0,70
1787362103,1.11,3.7,11946,28012,25,7403,0,0,69
1787362105,1.11,3.9,11942,28012,26,7403,0,0,69
1787362107,1.18,3.6,11940,28012,26,7403,0,0,69
1787362110,1.18,3.6,11938,28012,27,7403,0,0,69
1787362112,1.17,3.5,11930,28012,27,7403,0,0,69
1787362114,1.17,3.9,11928,28012,27,7403,0,0,69
1787362116,1.17,3.6,11935,28012,25,7403,0,0,69
1787362118,1.15,3.6,11932,28012,24,7403,0,0,69
1787362120,1.15,3.7,11935,28012,28,7403,0,0,69
1787362122,1.14,3.8,11938,28012,97,7403,0,0,73
1787362125,1.14,3.3,11934,28012,0,7403,0,0,71
1787362127,1.14,1.1,11925,28012,0,7403,0,0,70
1787362129,1.13,0.8,11940,28012,0,7403,0,0,70
1787362131,1.13,0.8,11946,28012,0,7403,0,0,70
1787362133,1.04,1.1,11943,28012,0,7403,0,0,70
