ts,load1,cpu_pct,mem_used_mb,mem_total_mb,gpu0_pct,gpu0_mem_mb,gpu1_pct,gpu1_mem_mb,gpu_temp
1787359902,2.00,22.6,11678,28012,0,7389,0,0,65
1787359904,2.00,7.6,11784,28012,18,7389,0,0,66
1787359906,2.00,3.4,11778,28012,24,7389,0,0,66
1787359908,1.92,3.2,11780,28012,24,7389,0,0,66
1787359910,1.92,3.2,11768,28012,24,7389,0,0,66
1787359912,1.85,3.2,11763,28012,25,7389,0,0,66
1787359915,1.85,3.2,11759,28012,24,7389,0,0,66
1787359917,1.78,3.3,11751,28012,94,7389,0,0,67
1787359919,1.78,3.6,12333,28012,13,7389,0,0,67
1787359921,1.78,3.2,11808,28012,23,7389,0,0,67
1787359923,1.72,3.2,11788,28012,18,7389,0,0,67
1787359925,1.72,3.2,11788,28012,20,7389,0,0,67
1787359927,1.66,3.5,11770,28012,24,7389,0,0,68
1787359929,1.66,3.2,11773,28012,25,7389,0,0,67
1787359932,1.61,3.2,11777,28012,26,7389,0,0,68
1787359934,1.61,3.2,11771,28012,22,7389,0,0,68
1787359936,1.61,3.2,11765,28012,25,7389,0,0,68
1787359938,1.56,3.3,11752,28012,15,7389,0,0,68
1787359940,1.56,3.2,11739,28012,95,7389,0,0,72
1787359942,1.51,3.8,12784,28012,13,7389,0,0,69
1787359944,1.51,3.2,11789,28012,19,7389,0,0,69
1787359947,1.47,3.2,11768,28012,23,7389,0,0,68
1787359949,1.47,3.2,11759,28012,19,7389,0,0,69
1787359951,1.47,3.2,11753,28012,24,7389,0,0,69
1787359953,1.43,3.2,11762,28012,26,7389,0,0,68
1787359955,1.43,3.2,11765,28012,25,7389,0,0,68
1787359957,1.40,3.3,11741,28012,27,7389,0,0,68
1787359959,1.40,3.5,11740,28012,22,7389,0,0,68
1787359961,1.37,3.3,11739,28012,28,7389,0,0,68
1787359964,1.37,3.4,11730,28012,19,7389,0,0,68
1787359966,1.37,3.3,11733,28012,30,7389,0,0,68
1787359968,1.34,3.2,11734,28012,30,7389,0,0,68
1787359970,1.34,3.2,11737,28012,23,7389,0,0,68
1787359972,1.31,3.2,11746,28012,29,7389,0,0,68
1787359974,1.31,3.3,11741,28012,97,7389,0,0,70
1787359976,1.28,4.2,11769,28012,34,7389,0,0,71
1787359979,1.28,3.2,11759,28012,21,7397,0,0,70
1787359981,1.28,3.2,11754,28012,21,7397,0,0,70
1787359983,1.26,3.2,11760,28012,23,7397,0,0,70
1787359985,1.26,3.2,11765,28012,24,7397,0,0,70
1787359987,1.24,3.2,11756,28012,25,7397,0,0,70
1787359989,1.24,3.7,11748,28012,41,7397,0,0,72
1787359991,1.22,3.5,11815,28012,22,7397,0,0,71
1787359994,1.22,3.2,11797,28012,22,7397,0,0,70
1787359996,1.22,3.6,11773,28012,23,7397,0,0,70
1787359998,1.20,3.2,11770,28012,25,7397,0,0,70
1787360000,1.20,3.3,11747,28012,26,7397,0,0,70
1787360002,1.19,3.2,11757,28012,41,7397,0,0,73
1787360004,1.19,3.6,13097,28012,11,7397,0,0,71
1787360006,1.17,3.6,11807,28012,24,7397,0,0,71
1787360008,1.17,3.2,11789,28012,24,7397,0,0,71
1787360011,1.17,3.2,11784,28012,25,7397,0,0,71
1787360013,1.16,3.2,11787,28012,26,7397,0,0,71
1787360015,1.16,3.2,11765,28012,25,7397,0,0,71
1787360017,1.14,3.3,11755,28012,23,7397,0,0,71
1787360019,1.14,3.6,11761,28012,26,7397,0,0,71
1787360021,1.21,3.5,11741,28012,26,7397,0,0,71
1787360023,1.21,3.3,11727,28012,24,7397,0,0,71
1787360026,1.21,3.5,11742,28012,26,7397,0,0,71
1787360028,1.20,3.2,11733,28012,27,7397,0,0,72
